date,direction,clean_amount,description,raw,category
2025-06-12,OUT,135,"Recharge for Customer to          Completed                                          -135.00                  5,900.23","TFC1KQQLCV           2025-06-12 14:59:32   Recharge for Customer to          Completed                                          -135.00                  5,900.23",Uncategorized
2025-06-12,OUT,20,"Customer Payment to Small         Completed                                           -20.00                  6,035.23","TFC9J7FJGD           2025-06-12 08:51:56   Customer Payment to Small         Completed                                           -20.00                  6,035.23",Uncategorized
2025-06-12,OUT,30,"Customer Payment to Small         Completed                                           -30.00                  6,055.23","TFC8J76614           2025-06-12 08:50:01   Customer Payment to Small         Completed                                           -30.00                  6,055.23",Uncategorized
2025-06-12,OUT,100,"Customer Payment to Small         Completed                                          -100.00                  6,085.23","TFC2J05LMU           2025-06-12 07:56:47   Customer Payment to Small         Completed                                          -100.00                  6,085.23",Uncategorized
2025-06-11,OUT,60,"Customer Payment to Small         Completed                                           -60.00                  6,185.23","TFB0I3ZU6I           2025-06-11 21:04:26   Customer Payment to Small         Completed                                           -60.00                  6,185.23",Uncategorized
2025-06-11,OUT,200,"Merchant Payment to 9355672 -     Completed                                          -200.00                  6,245.23","TFB2G0GZ7I           2025-06-11 14:58:49   Merchant Payment to 9355672 -     Completed                                          -200.00                  6,245.23",Other Merchant Payment
2025-06-11,OUT,20,"Recharge for Customer to          Completed                                           -20.00                  6,445.23","TFB7FW1A8B           2025-06-11 14:29:21   Recharge for Customer to          Completed                                           -20.00                  6,445.23",Uncategorized
2025-06-11,OUT,100,"Customer Payment to Small         Completed                                          -100.00                  6,465.23","TFB4FT4CWW           2025-06-11 14:10:08   Customer Payment to Small         Completed                                          -100.00                  6,465.23",Uncategorized
2025-06-11,OUT,10,"Airtime Purchase                  Completed                                           -10.00                  6,565.23","TFB9FEQ685           2025-06-11 12:38:43   Airtime Purchase                  Completed                                           -10.00                  6,565.23",Airtime/Data
2025-06-11,OUT,20,"Pay Bill Online to 826915 -       Completed                                           -20.00                  6,575.23","TFB7F39GHR           2025-06-11 11:20:44   Pay Bill Online to 826915 -       Completed                                           -20.00                  6,575.23",Uncategorized
2025-06-11,OUT,50,"Customer Payment to Small         Completed                                           -50.00                  6,595.23","TFB9EFB8Y7           2025-06-11 08:34:38   Customer Payment to Small         Completed                                           -50.00                  6,595.23",Uncategorized
2025-06-11,OUT,34,"Recharge for Customer to          Completed                                           -34.00                  6,645.23","TFB7E9VIRD           2025-06-11 07:52:43   Recharge for Customer to          Completed                                           -34.00                  6,645.23",Uncategorized
2025-06-11,OUT,100,"Customer Payment to Small         Completed                                          -100.00                  6,679.23","TFB0E9I7C0           2025-06-11 07:49:45   Customer Payment to Small         Completed                                          -100.00                  6,679.23",Uncategorized
2025-06-10,OUT,7,"Customer Transfer of Funds        Completed                                            -7.00                  6,779.23","TFA9DNMBWD           2025-06-10 22:04:05   Customer Transfer of Funds        Completed                                            -7.00                  6,779.23",Uncategorized
